k,n,matrices,corruptions_per_matrix,trials,false_positives,observed_failure,theoretical_failure,ci_lower,ci_upper,error_mode,seed
1,32,40000,5,200000,100098,0.50049,0.5,0.4989397256140219,0.5020402743859781,sparse,91
1,32,40000,5,200000,4,2e-05,0.5,1.991234701182504e-05,2.0087652988174965e-05,dense,91
1,32,40000,5,200000,99945,0.499725,0.5,0.49817591035633924,0.5012740896436607,worst_case,91
2,32,40000,5,200000,50058,0.25029,0.25,0.24934020205918325,0.25123979794081674,sparse,91
2,32,40000,5,200000,0,0.0,0.25,0.0,6.929646455628166e-06,dense,91
2,32,40000,5,200000,50241,0.251205,0.25,0.25025231172384876,0.25215768827615126,worst_case,91
3,32,40000,5,200000,24776,0.12388,0.125,0.12337181239580461,0.1243881876041954,sparse,91
3,32,40000,5,200000,0,0.0,0.125,0.0,6.929646455628166e-06,dense,91
3,32,40000,5,200000,25177,0.125885,0.125,0.1253691786138332,0.1264008213861668,worst_case,91
4,32,40000,5,200000,12480,0.0624,0.0625,0.062135189950465984,0.06266481004953402,sparse,91
4,32,40000,5,200000,0,0.0,0.0625,0.0,6.929646455628166e-06,dense,91
4,32,40000,5,200000,12557,0.062785,0.0625,0.06251861081600492,0.06305138918399507,worst_case,91
5,32,40000,5,200000,6176,0.03088,0.03125,0.03074676843070534,0.031013231569294662,sparse,91
5,32,40000,5,200000,0,0.0,0.03125,0.0,6.929646455628166e-06,dense,91
5,32,40000,5,200000,6197,0.030985,0.03125,0.030851322651126313,0.031118677348873684,worst_case,91
6,32,40000,5,200000,3121,0.015605,0.015625,0.01553714379829144,0.015672856201708562,sparse,91
6,32,40000,5,200000,0,0.0,0.015625,0.0,6.929646455628166e-06,dense,91
6,32,40000,5,200000,3100,0.0155,0.015625,0.01543259678190917,0.01556740321809083,worst_case,91
7,32,40000,5,200000,1484,0.00742,0.0078125,0.007387601288481137,0.007452398711518864,sparse,91
7,32,40000,5,200000,0,0.0,0.0078125,0.0,6.929646455628166e-06,dense,91
7,32,40000,5,200000,1548,0.00774,0.0078125,0.007706209487682182,0.007773790512317818,worst_case,91
8,32,40000,5,200000,812,0.00406,0.00390625,0.0040422424234810754,0.004077757576518925,sparse,91
8,32,40000,5,200000,0,0.0,0.00390625,0.0,6.929646455628166e-06,dense,91
8,32,40000,5,200000,778,0.00389,0.00390625,0.003872984515299168,0.003907015484700832,worst_case,91
9,32,40000,5,200000,395,0.001975,0.001953125,0.001966352732705061,0.0019836472672949395,sparse,91
9,32,40000,5,200000,0,0.0,0.001953125,0.0,6.929646455628166e-06,dense,91
9,32,40000,5,200000,386,0.00193,0.001953125,0.0019215495685439652,0.001938450431456035,worst_case,91
10,32,40000,5,200000,187,0.000935,0.0009765625,0.0009309040980024423,0.0009390959019975576,sparse,91
10,32,40000,5,200000,0,0.0,0.0009765625,0.0,6.929646455628166e-06,dense,91
10,32,40000,5,200000,169,0.000845,0.0009765625,0.0008412981892226114,0.0008487018107773887,worst_case,91
11,32,40000,5,200000,115,0.000575,0.00048828125,0.0005724806760075121,0.0005775193239924879,sparse,91
11,32,40000,5,200000,0,0.0,0.00048828125,0.0,6.929646455628166e-06,dense,91
11,32,40000,5,200000,88,0.00044,0.00048828125,0.0004380720392675866,0.00044192796073241344,worst_case,91
12,32,40000,5,200000,54,0.00027,0.000244140625,0.0002688168325862601,0.0002711831674137399,sparse,91
12,32,40000,5,200000,0,0.0,0.000244140625,0.0,6.929646455628166e-06,dense,91
12,32,40000,5,200000,52,0.00026,0.000244140625,0.0002588606479033275,0.0002611393520966725,worst_case,91
13,32,40000,5,200000,20,0.0001,0.0001220703125,9.95617525904241e-05,0.00010043824740957592,sparse,91
13,32,40000,5,200000,0,0.0,0.0001220703125,0.0,6.929646455628166e-06,dense,91
13,32,40000,5,200000,26,0.00013,0.0001220703125,0.00012943028691429455,0.00013056971308570542,worst_case,91
14,32,40000,5,200000,12,6e-05,6.103515625e-05,5.973704629481219e-05,6.0262953705187814e-05,sparse,91
14,32,40000,5,200000,0,0.0,6.103515625e-05,0.0,6.929646455628166e-06,dense,91
14,32,40000,5,200000,16,8e-05,6.103515625e-05,7.96493985660269e-05,8.035060143397311e-05,worst_case,91
15,32,40000,5,200000,9,4.5e-05,3.0517578125e-05,4.480278324191135e-05,4.519721675808866e-05,sparse,91
15,32,40000,5,200000,0,0.0,3.0517578125e-05,0.0,6.929646455628166e-06,dense,91
15,32,40000,5,200000,9,4.5e-05,3.0517578125e-05,4.480278324191135e-05,4.519721675808866e-05,worst_case,91
16,32,40000,5,200000,6,3e-05,1.52587890625e-05,2.9868521175149762e-05,3.013147882485024e-05,sparse,91
16,32,40000,5,200000,0,0.0,1.52587890625e-05,0.0,6.929646455628166e-06,dense,91
16,32,40000,5,200000,1,5e-06,1.52587890625e-05,4.978086588604237e-06,5.021913411395764e-06,worst_case,91
17,32,40000,5,200000,3,1.5e-05,7.62939453125e-06,1.4934260094516345e-05,1.5065739905483656e-05,sparse,91
17,32,40000,5,200000,0,0.0,7.62939453125e-06,0.0,6.929646455628166e-06,dense,91
17,32,40000,5,200000,1,5e-06,7.62939453125e-06,4.978086588604237e-06,5.021913411395764e-06,worst_case,91
18,32,40000,5,200000,1,5e-06,3.814697265625e-06,4.978086588604237e-06,5.021913411395764e-06,sparse,91
18,32,40000,5,200000,0,0.0,3.814697265625e-06,0.0,6.929646455628166e-06,dense,91
18,32,40000,5,200000,1,5e-06,3.814697265625e-06,4.978086588604237e-06,5.021913411395764e-06,worst_case,91
19,32,40000,5,200000,0,0.0,1.9073486328125e-06,0.0,6.929646455628166e-06,sparse,91
19,32,40000,5,200000,0,0.0,1.9073486328125e-06,0.0,6.929646455628166e-06,dense,91
19,32,40000,5,200000,1,5e-06,1.9073486328125e-06,4.978086588604237e-06,5.021913411395764e-06,worst_case,91
20,32,40000,5,200000,0,0.0,9.5367431640625e-07,0.0,6.929646455628166e-06,sparse,91
20,32,40000,5,200000,0,0.0,9.5367431640625e-07,0.0,6.929646455628166e-06,dense,91
20,32,40000,5,200000,2,1e-05,9.5367431640625e-07,9.956173286776214e-06,1.0043826713223788e-05,worst_case,91
